"isatrial","ppntID","obsbudget","obsbudget_initial","observations","obstime","drawTime","idstring","phase","score_before_choice","choice_time","payout_received","choice","score_after_choice","condition","trialindex","chose_prob","chose_pay","chose_expectation","prob1","prob2","prob3","pay1","pay2","pay3","expectedvalue1","expectedvalue2","expectedvalue3","myinstructions"
true,"1565011",0,4,"[""trial88a_prob1"",""trial88a_prob2"",""trial88a_prob3"",""trial88a_pay1"",""trial88a_pay2"",""trial88a_pay3""]","[1598434796021,1598434796030,1598434796037,1598434796042,1598434796046,1598434796049]",1598434796007,"trial88a_","phase2",101,1598434797420,false,"trial88a_2",101,"cond2",5,0.573,48,27.503999999999998,0.515,0.573,0.84,50.6,48,5.37,26.059,27.503999999999998,4.5108,"It's usually more useful to observe payout features."
true,"1565011",0,1,"[""trial330a_prob1"",""trial330a_prob2"",""trial330a_prob3"",""trial330a_pay1"",""trial330a_pay2"",""trial330a_pay3""]","[1598434798621,1598434798637,1598434798643,1598434798651,1598434798655,1598434798660]",1598434798607,"trial330a_","phase2",101,1598434800042,false,"trial330a_1",101,"cond2",6,0.0232,49.3,1.1437599999999999,0.0232,0.571,0.508,49.3,93.5,48.5,1.1437599999999999,53.38849999999999,24.638,"It's usually more useful to observe payout features."
true,"1565011",0,1,"[""trial507a_prob1"",""trial507a_prob2"",""trial507a_prob3"",""trial507a_pay1"",""trial507a_pay2"",""trial507a_pay3""]","[1598434801304,1598434801307,1598434801311,1598434801315,1598434801319,1598434801323]",1598434801301,"trial507a_","phase2",101,1598434802825,false,"trial507a_3",101,"cond2",7,0.448,1.9,0.8512,0.527,0.412,0.448,97.1,1.96,1.9,51.1717,0.8075199999999999,0.8512,"It's usually more useful to observe payout features."
true,"1565011",0,4,"[""trial85a_pay3"",""trial85a_prob3"",""trial85a_prob2"",""trial85a_pay2"",""trial85a_pay1""]","[1598434810544,1598434812120,1598434814234,1598434815461,1598434817069]",1598434805195,"trial85a_","phase3",101,1598434820572,true,"trial85a_2",154.8,"cond2",9,0.947,53.8,50.94859999999999,0.0505,0.947,0.566,49.6,53.8,0.558,2.5048000000000004,50.94859999999999,0.315828,"It's usually more useful to observe payout features."
true,"1565011",0,5,"[""trial498a_pay3"",""trial498a_prob3"",""trial498a_prob2"",""trial498a_pay2"",""trial498a_pay1""]","[1598434827968,1598434828839,1598434830060,1598434831122,1598434832185]",1598434822007,"trial498a_","phase3",154.8,1598434835348,true,"trial498a_3",250.9,"cond2",10,0.45,96.1,43.245,0.576,0.536,0.45,8.34,2.59,96.1,4.803839999999999,1.38824,43.245,"It's usually more useful to observe payout features."
true,"1565011",0,5,"[""trial767a_pay3"",""trial767a_prob3"",""trial767a_prob2"",""trial767a_pay2"",""trial767a_pay1""]","[1598434839690,1598434840625,1598434842145,1598434843464,1598434845115]",1598434837147,"trial767a_","phase3",250.9,1598434847608,true,"trial767a_2",345.5,"cond2",11,0.889,94.6,84.0994,0.45,0.889,0.912,98.2,94.6,49.1,44.190000000000005,84.0994,44.7792,"It's usually more useful to observe payout features."
true,"1008387",0,2,"[""trial707_prob1"",""trial707_prob2"",""trial707_prob3"",""trial707_pay1"",""trial707_pay2"",""trial707_pay3""]","[1598434885128,1598434885155,1598434885173,1598434885184,1598434885196,1598434885204]",1598434885106,"trial707_","phase1",0,1598434888226,true,"trial707_3",22.8,"cond1",1,0.841,22.8,19.1748,0.747,0.487,0.841,24.8,26.4,22.8,18.5256,12.8568,19.1748,""
true,"1008387",0,3,"[""trial117_prob1"",""trial117_prob2"",""trial117_prob3"",""trial117_pay1"",""trial117_pay2"",""trial117_pay3""]","[1598434889680,1598434889703,1598434889715,1598434889721,1598434889727,1598434889732]",1598434889666,"trial117_","phase1",22.8,1598434891991,true,"trial117_2",38.5,"cond1",2,0.806,15.7,12.6542,0.493,0.806,0.69,16.6,15.7,17.9,8.1838,12.6542,12.350999999999997,""
true,"1008387",0,4,"[""trial536_prob1"",""trial536_prob2"",""trial536_prob3"",""trial536_pay1"",""trial536_pay2"",""trial536_pay3""]","[1598434893436,1598434893448,1598434893458,1598434893465,1598434893470,1598434893474]",1598434893421,"trial536_","phase1",38.5,1598434897769,true,"trial536_2",53.6,"cond1",3,0.572,15.1,8.637199999999998,0.209,0.572,0.467,21.2,15.1,21.8,4.4308,8.637199999999998,10.1806,""
true,"1008387",0,3,"[""trial805_prob1"",""trial805_prob2"",""trial805_prob3"",""trial805_pay1"",""trial805_pay2"",""trial805_pay3""]","[1598434900180,1598434900191,1598434900199,1598434900206,1598434900211,1598434900216]",1598434900166,"trial805_","phase2",53.6,1598434901780,true,"trial805_3",75.7,"cond1",5,0.583,22.1,12.8843,0.176,0.587,0.583,23.8,13.9,22.1,4.1888,8.1593,12.8843,""
